,flat_price,Комнат,Площадь,Жилая,Кухня,Этаж,Ремонт,Тип сделки,Лет в собственности,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Количество квартир,latitude,longitude,Вид из окон,Тип перекрытий,Горячее водоснабжение,Количество собственников,Мусоропровод,Несовершеннолетние собственники,Прописанные несовершеннолетние,Количество балконов,Тип фундамента,Балкон,Количество лифтов,Грузовой лифт,Высота потолков,price_stats,Детская площадка,Перепланировка,Газ,Спортивная площадка,Год ввода в эксплуатацию,Количество подъездов,Наименьшее количество этажей,Предоплата,Залог,Класс энергоэффективности,Прописано,Коммунальные платежи,Холодное водоснабжение,Комнат в квартире,Площадь комнаты,Теплоснабжение,Санузел,Энергоснабжение
26,14 000 000,1,"38,5","19,1","8,5",13,Косметический,Свободная продажа,Больше пяти,1985,Железобетон,П-44,17,есть,,55.691105,37.49541},,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,18 500 000,2,56,26,17,4,Евро,Свободная продажа,Больше пяти,2018,Монолитный,121. многоквартирный дом,20,есть,,55.599728,37.724723,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,8 980 000,1,"38,3",20,"10,1",7,,Свободная продажа,,1994,Панельный,копэ 85,22,есть,,55.973652,37.153736,,Железобетонный,,,,нет,нет,,,,,,,,,,,,,,,,,,,,,,,,,
29,13 500 000,3,56,40,6,4,,Альтернатива,,1966,Кирпичный,II-29,9,есть,,55.801546,37.827868,,Железобетонный,,,,,,,,нет,,нет,,,,,,,,,,,,,,,,,,,,
30,24 000 000,2,"60,4",31,"10,3",15,Косметический,Свободная продажа,Меньше трех,2019,Монолитный,01-пз индивидуальный проект,22,есть,,55.666127,37.508589,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,13 490 000,2,"50,8","28,3",11,15,Хороший,Свободная продажа,,1987,Железобетон,II-68,16,есть,,55.702637,37.744325,во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,60 500 000,4,138,,,32,,Свободная продажа,,2023,,,46,есть,,55.718806,37.637075,,,,,,,,,,нет,,нет,,,,,,,,,,,,,,,,,,,,
33,56 000 000,4,86,,16,16,Дизайнерский,Свободная продажа,Больше пяти,2017,Монолитный,01-пз индивидуальный проект,24,есть,,55.847295,37.638521,,Железобетонный,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15 000 000,3,"58,6","42,1","6,6",3,косметический,Свободная продажа,,1971,Железобетон,i-605-am,9,есть,,55.634761,37.606307,во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,12 490 000,3,"90,9","50,2","12,9",3,Без ремонта,Свободная продажа,,2015,Кирпичный,01-пз индивидуальный проект,18,есть,362,55.601137,37.170813,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,29 870 000,3,69,,,24,С отделкой,Свободная продажа,,2018,Монолитный,01-пз индивидуальный проект,44,есть,,55.770806,37.564212,,Железобетонный,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,
37,11 650 000,3,"58,2",38,6,7,Косметический,Свободная продажа,Больше пяти,1968,Монолитный,II-49,9,есть,,55.696879,37.820241,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,41 900 000,3,"123,5","69,4","12,6",7,,Свободная продажа,,,Монолитный,,14,есть,,55.793278,37.561401,,Железобетонный,,,есть,,,,,нет,2,,,,,,,,,,,,,,,,,,,,,
39,28 500 000,3,"114,3",,"11,9",17,,,,2012,Монолитный,II-01,24,есть,,55.831019,37.354079,,Железобетонный,,,есть,,,1,,,2,,,,,,,,,,,,,,,,,,,,,
40,17 800 000,4,"93,6","54,3",8,9,Косметический,Альтернатива,От трех до пяти,2014,Монолитный,,9,есть,,55.970977,37.175008,,Железобетонный,Центральное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,52 000 000,5,183,,,5,Хороший,Свободная продажа,,1902,Кирпичный,01-пз индивидуальный проект,6,есть,,55.771747,37.679053,,Деревянный,,,,,,1,,,1,,3,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Не смог найти стоимость квартиры,,,,,,,,,,,,,,,,,,
43,343 500 000,4,229,,,11,,,,2022,Монолитный,,15,,,"55.72675,","7.56995},",,Железобетонный,Центральное,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,
44,12 000 000,1,39,19,7,15,Косметический,Свободная продажа,Больше пяти,2003,Панельный,П-44Т,17,есть,,"55.66565,",7.779539},,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,53 222 932,3,"103,2","52,4","13,3",11,Без ремонта,Свободная продажа,,2019,Монолитный,"14/14, индивидуальный",21,есть,,55.807344,37.647199,,Железобетонный,,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,
46,220 000 000,3,150,,60,6,Дизайнерский,Свободная продажа,,1928,Кирпичный,01-пз индивидуальный проект,8,есть,,55.759648,37.607691,,Деревянный,,1,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,
47,9 999 990,1,"30,3","18,8",6,4,Косметический,Свободная продажа,,1960,Кирпичный,01-пз индивидуальный проект,5,,,"55.86793,",7.672504},во,Железобетонный,,,,,,,Ленточный,,,,,,,,,,,,,,,,,,,,,,,
48,34 000 000,3,"76,1",51,"8,6",2,Евро,Альтернатива,Больше пяти,1958,Кирпичный,"14/14, индивидуальный",8,есть,,55.693789,37.547836,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,16 500 000,3,"60,5",,9,1,евроремонт,Свободная продажа,,1977,Железобетон,1-515-9,9,есть,,55.895272,37.568524,,Железобетонный,,,есть,,,1,,,,,,,,,,,,,,,,,,,,,,,,
50,974 147 000,6,457,300,32,7,,Свободная продажа,,2007,Монолитный,,8,,,55.759973,37.608077,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
51,13 300 000,1,45,24,10,9,,Свободная продажа,,2022,Монолитный,,23,есть,576,55.647432,37.38631},на,Железобетонный,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
52,34 000 000,2,"69,5","34,9","13,8",18,Требует ремонта,Свободная продажа,,2018,Монолитный,,24,есть,,55.762789,37.508984,на,Железобетонный,Центральное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20 500 000,3,"75,1",,"16,2",4,,,,2017,Монолитный,,15,есть,,55.690187,37.657781,,,,,,,,1,,,,,,,есть,,,,,,,,,,,,,,,,,
54,9 900 000,1,32,,6,6,Косметический,Альтернатива,,1976,Железобетон,II-49,9,есть,,55.618883,37.751601,,Железобетонный,,2,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,
55,10 700 000,1,30,18,6,2,Дизайнерский,Свободная продажа,,,Кирпичный,,9,,,55.863762,37.46555},во,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,19 900 000,2,"56,2",32,"10,5",8,Евро,Свободная продажа,,1986,Панельный,П-44,17,есть,,55.627615,37.518389,во,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,8 436 251,1,"21,7","10,9",,17,,Свободная продажа,,,Монолитный,,21,,,55.730238,37.698295,,,,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,
58,23 100 000,3,"80,1",,,2,Дизайнерский,Свободная продажа,От трех до пяти,2014,Монолитный,II-01,8,есть,,55.568487,37.440452,,Железобетонный,,1,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,
